month,TigacellID,prob_l95,prob_median,prob_u95,sd
10,-4.65_42.25,0,0.011,0.135,0.0404648110228935
10,-4.6_36.55,0.025,0.131,0.426,0.10534478275459
10,-4.6_36.6,0,0.008,0.071,0.0218533873029689
10,-4.6_36.65,0.036,0.171,0.543,0.132501380837494
10,-4.6_36.7,0,0.011,0.134,0.0423424872153691
10,-4.6_37,0,0.012,0.184,0.0583179334604195
10,-4.6_40.25,0,0.012,0.172,0.0549322162399828
10,-4.6_41.85,0,0.012,0.171,0.0500164833964619
10,-4.6_42.35,0,0.011,0.151,0.0478921194776201
10,-4.6_43.2,0,0.011,0.166,0.050780505139968
10,-4.75_36.45,0.002,0.024,0.157,0.0492438411245069
10,-4.75_36.5,0.001,0.018,0.116,0.0349645782923832
10,-4.75_36.6,0,0.009,0.094,0.0280315339682417
10,-4.75_36.75,0,0.011,0.141,0.0451549820816437
10,-4.75_36.8,0,0.012,0.162,0.0501750058631271
10,-4.75_37.1,0,0.012,0.185,0.056454651199868
10,-4.75_37.6,0,0.011,0.139,0.0437594793304559
10,-4.75_37.65,0,0.012,0.191,0.0579355873741785
10,-4.75_37.7,0,0.012,0.169,0.0521625994357556
10,-4.75_37.85,0,0.01,0.114,0.0360357105629947
10,-4.75_38.25,0,0.011,0.158024999999998,0.0469408662467188
10,-4.75_40,0,0.011,0.148,0.0474933002063625
10,-4.75_40.6,0,0.011,0.126,0.0376187329416805
10,-4.75_41.5,0,0.012,0.173,0.0564269652748926
10,-4.75_41.6,0,0.009,0.085,0.0259579265843461
10,-4.75_41.65,0,0.011,0.122,0.0384842761146744
10,-4.75_42.25,0,0.013,0.16,0.0549429736522921
10,-4.75_43.35,0,0.011,0.176,0.0532512534810373
10,-4.7_36.45,0.003,0.033,0.192,0.0506161456563241
10,-4.7_36.5,0.002,0.029,0.158,0.0448253926491965
10,-4.7_36.55,0,0.01,0.113,0.0348841785676933
10,-4.7_36.6,0,0.011,0.133,0.0413927242165805
10,-4.7_36.7,0,0.011,0.138,0.0480727244860209
10,-4.7_37.1,0,0.011,0.144,0.0421683488883413
10,-4.7_37.5,0,0.012,0.155,0.047566202253529
10,-4.7_40,0,0.012,0.141024999999998,0.0466943310257665
10,-4.7_40.25,0,0.012,0.169,0.0610559455835991
10,-4.7_41.5,0,0.012,0.153,0.0441631967337786
10,-4.7_41.6,0,0.012,0.159024999999998,0.0468424705169185
10,-4.7_41.7,0,0.012,0.197,0.0585065214564413
10,-4.7_41.75,0,0.011,0.126,0.0381594107004497
10,-4.85_36.45,0,0.012,0.165,0.0515891888905186
10,-4.85_36.5,0.02,0.139,0.443,0.111477643350542
10,-4.85_36.6,0,0.011,0.131,0.0413085096198658
